error_pct,jct,ttft,preemptions,jain_fairness,starvation_pct,timed_out_pct,jct_p95,jct_p99,alpha,beta,scenario
40,12.0238,11.933,373,0.0918,7.61,4.1,64.2111,233.2722,0.25,0.1,light
40,12.7237,12.6321,373,0.0976,8.12,4.0,68.4122,233.2632,0.25,0.25,light
40,14.4215,14.329,375,0.1046,8.41,3.7,89.2348,234.7563,0.25,0.5,light
40,15.1208,15.0295,374,0.108,8.82,3.6,92.1716,253.494,0.25,0.75,light
40,17.4275,17.3322,376,0.1141,8.7,3.5,118.8992,268.0378,0.25,1.0,light
40,19.3728,19.2765,377,0.1253,9.11,3.4,136.9415,269.0109,0.25,1.25,light
40,22.4564,22.357,377,0.14,10.04,3.4,164.7885,271.4044,0.25,1.5,light
40,26.0064,25.9033,378,0.1578,10.82,3.0,189.231,278.3001,0.25,1.75,light
40,26.8909,26.7869,378,0.1645,10.81,2.9,189.207,279.5953,0.25,2.0,light
40,46.6138,46.4904,379,0.2881,13.35,1.9,228.083,280.5144,0.25,5.0,light
40,67.7918,67.655,386,0.4451,7.95,0.6,224.0346,276.4905,0.25,10.0,light
40,71.7162,71.5748,387,0.4845,5.72,0.3,224.5824,273.1732,0.25,12.0,light
40,74.019,73.8757,388,0.528,3.61,0.2,213.6419,250.762,0.25,14.0,light
40,75.4309,75.2858,388,0.5555,2.3,0.1,205.3242,238.2494,0.25,16.0,light
40,76.7936,76.6436,388,0.577,1.6,0.0,197.2757,239.2424,0.25,18.0,light
40,77.7286,77.5786,388,0.5968,1.0,0.0,196.2765,231.323,0.25,20.0,light
40,79.4916,79.3416,388,0.646,0.3,0.0,185.3159,221.5976,0.25,25.0,light
40,80.6976,80.5476,388,0.6911,0.0,0.0,176.5358,211.3989,0.25,30.0,light
40,12.5356,12.3391,351,0.0907,6.88,8.4,62.614,233.4562,0.25,0.1,normal
40,12.9201,12.7258,351,0.0939,6.77,8.4,65.9468,236.2955,0.25,0.25,normal
40,14.2001,14.0036,351,0.1039,7.42,8.4,82.368,240.0227,0.25,0.5,normal
40,15.2729,15.0756,351,0.1082,8.18,8.3,99.4728,247.7797,0.25,0.75,normal
40,17.1452,16.945,353,0.1145,8.71,8.1,125.9678,252.6162,0.25,1.0,normal
40,19.401,19.198,353,0.1222,9.34,7.9,149.798,270.1398,0.25,1.25,normal
40,20.1044,19.9014,352,0.1246,9.34,7.9,158.586,265.1148,0.25,1.5,normal
40,22.4722,22.2653,356,0.1319,9.64,7.7,174.5259,281.0064,0.25,1.75,normal
40,23.671,23.463,356,0.1396,10.18,7.7,178.4825,278.1747,0.25,2.0,normal
40,45.8702,45.6425,360,0.2685,14.39,6.9,230.4615,278.5132,0.25,5.0,normal
40,74.9612,74.7112,367,0.4084,10.81,5.6,261.617,293.7606,0.25,10.0,normal
40,82.2828,82.0299,366,0.4499,7.94,5.5,264.4776,290.6574,0.25,12.0,normal
40,89.7193,89.4595,366,0.4869,4.65,5.3,267.0816,291.724,0.25,14.0,normal
