error_pct,jct,ttft,preemptions,jain_fairness,starvation_pct,timed_out_pct,jct_p95,jct_p99,alpha,beta,configuration
0,96.0556,95.7927,0,0.506,3.05,4.9,278.691,295.713,0.25,16.0,full
20,97.6204,97.3541,364,0.514,2.0,5.0,276.7254,296.7158,0.25,16.0,full
40,96.9401,96.6742,365,0.5187,0.95,5.2,269.0767,290.5471,0.25,16.0,full
60,96.2622,95.9903,371,0.5129,2.01,5.5,270.613,293.8163,0.25,16.0,full
80,93.3026,93.0295,375,0.4942,3.4,5.9,271.012,293.8486,0.25,16.0,full
0,96.0556,95.7927,0,0.506,3.05,4.9,278.691,295.713,0.0,16.0,no_uncertainty
20,95.3991,95.1349,365,0.5065,2.95,5.0,273.6196,294.754,0.0,16.0,no_uncertainty
40,94.6994,94.4333,367,0.509,2.96,5.3,268.3831,291.3323,0.0,16.0,no_uncertainty
60,92.9361,92.6676,371,0.4947,3.81,5.4,270.061,294.4515,0.0,16.0,no_uncertainty
80,89.671,89.4024,373,0.4725,5.41,5.8,270.8594,296.2723,0.0,16.0,no_uncertainty
0,13.0194,12.8267,0,0.0927,7.07,8.1,77.2733,247.958,0.25,0.0,no_aging
20,12.3834,12.1886,345,0.0889,7.29,8.1,69.8038,247.7682,0.25,0.0,no_aging
40,12.1523,11.9589,351,0.0905,6.67,8.5,61.1216,226.5814,0.25,0.0,no_aging
60,13.6497,13.449,355,0.0988,8.0,8.8,79.1778,238.5841,0.25,0.0,no_aging
80,15.9861,15.7737,362,0.1122,8.85,9.6,100.7427,241.443,0.25,0.0,no_aging
