error_pct,jct,ttft,preemptions,jain_fairness,starvation_pct,timed_out_pct,jct_p95,jct_p99,alpha,beta,scenario
0,11.5201,11.4327,0,0.0913,7.91,3.9,54.924,212.7088,0.1,0.1,light
0,11.6886,11.6012,0,0.0955,8.12,3.9,59.601,211.3596,0.1,0.25,light
0,12.08,11.9926,0,0.0955,7.91,3.9,59.601,225.5128,0.1,0.5,light
0,13.1855,13.0971,0,0.0987,8.11,3.8,61.9124,249.3071,0.1,0.75,light
0,14.5418,14.4525,0,0.1022,8.31,3.7,69.9134,258.2887,0.1,1.0,light
0,16.1233,16.0311,0,0.1075,8.8,3.4,95.7395,269.214,0.1,1.25,light
0,21.7732,21.6749,0,0.1413,10.34,3.3,155.4392,268.3905,0.1,1.5,light
0,22.85,22.7508,0,0.1566,10.95,3.2,142.3788,262.7865,0.1,1.75,light
0,23.6732,23.574,0,0.1647,10.64,3.2,146.1138,266.485,0.1,2.0,light
0,45.5095,45.3882,0,0.2891,12.64,1.9,216.938,285.1682,0.1,5.0,light
0,66.7107,66.5758,0,0.4455,7.65,0.7,217.7738,276.7112,0.1,10.0,light
0,70.773,70.6333,0,0.4786,5.63,0.5,222.3889,273.7078,0.1,12.0,light
0,72.8702,72.7307,0,0.5218,4.22,0.4,210.4988,253.8313,0.1,14.0,light
0,75.0315,74.8864,0,0.5482,2.5,0.1,207.6766,247.6534,0.1,16.0,light
0,76.1076,75.9624,0,0.5793,1.5,0.1,198.5446,238.076,0.1,18.0,light
0,77.4686,77.3186,0,0.5968,1.2,0.0,196.2356,237.0495,0.1,20.0,light
0,79.0026,78.8526,0,0.6291,0.7,0.0,186.5508,226.2254,0.1,25.0,light
0,80.1776,80.0276,0,0.6658,0.2,0.0,180.6545,216.1258,0.1,30.0,light
0,11.5201,11.4327,0,0.0913,7.91,3.9,54.924,212.7088,0.25,0.1,light
0,11.6886,11.6012,0,0.0955,8.12,3.9,59.601,211.3596,0.25,0.25,light
0,12.08,11.9926,0,0.0955,7.91,3.9,59.601,225.5128,0.25,0.5,light
0,13.1855,13.0971,0,0.0987,8.11,3.8,61.9124,249.3071,0.25,0.75,light
0,14.5418,14.4525,0,0.1022,8.31,3.7,69.9134,258.2887,0.25,1.0,light
0,16.1233,16.0311,0,0.1075,8.8,3.4,95.7395,269.214,0.25,1.25,light
0,21.7732,21.6749,0,0.1413,10.34,3.3,155.4392,268.3905,0.25,1.5,light
0,22.85,22.7508,0,0.1566,10.95,3.2,142.3788,262.7865,0.25,1.75,light
0,23.6732,23.574,0,0.1647,10.64,3.2,146.1138,266.485,0.25,2.0,light
0,45.5095,45.3882,0,0.2891,12.64,1.9,216.938,285.1682,0.25,5.0,light
0,66.7107,66.5758,0,0.4455,7.65,0.7,217.7738,276.7112,0.25,10.0,light
0,70.773,70.6333,0,0.4786,5.63,0.5,222.3889,273.7078,0.25,12.0,light
0,72.8702,72.7307,0,0.5218,4.22,0.4,210.4988,253.8313,0.25,14.0,light
0,75.0315,74.8864,0,0.5482,2.5,0.1,207.6766,247.6534,0.25,16.0,light
0,76.1076,75.9624,0,0.5793,1.5,0.1,198.5446,238.076,0.25,18.0,light
0,77.4686,77.3186,0,0.5968,1.2,0.0,196.2356,237.0495,0.25,20.0,light
0,79.0026,78.8526,0,0.6291,0.7,0.0,186.5508,226.2254,0.25,25.0,light
